Pasal,Isi Pasal
Pasal 161,"Pemeriksaan pengelolaan dan tanggung jawab keuangan kmbaga
oleh akuntan pubiik dilakukan dengan mengikuti standar akuntansi
yang diakui secara internasional sebagai standar akuntansi yang
berlaku untuk badan hukum pengelola investasi sejenisnya.
SK No 097196 APasal 162...
PRESIDEN
REPUBLIK INDONESIA
-372-"
Pasal 164,"Ayat (1)
Peraturan Pemerintah dimaksud mengatur antara lain
kebijakan investasi, keterbukaan informasi, benturan
kepentingan, kerahasiaan informasi, pengadministrasian dari
data dan informasi yang berkaitan dengan aset yang dikelola,
audit internal, tanggung jawab sosial dan lingkungan serta
manajemen risiko dengan memperhatikan praktik bisnis yang
berlaku secara intemasional.
Ayat (2)
Ketidakberlakuan peraturan perundang-undangan terkait yang
mengatur pengelolaan keuangan negara/kekayaan
negara/badan usaha milik negara bagi Lembaga, karena
kegiatan pengelolaan aset dan investasi telah diatur secara
khusus dalam Peraturan Pemerintah Pengganti Undang-
Undang ini dan peraturan pelaksanaannya."
Pasal 166. . .,"SK No 137330A
FRESIDEN
REPUBLIK INDONESIA
_7to_"
Pasal 166,Cukup jelas.
Pasal 167,Cukup jelas.
Pasal 172,Cukup jelas.
Pasal 174,Cukup jelas.
Pasal 175,Angka I
Pasal 39A,"Cukup jelas.
Angka 7"
Pasal 176,Angka 1
Pasal 251,"Cukup jelas.
Angka 4"
Pasal 252...,"SK No 137348 A
5PRESIDEN
REPUALIK INDONESIA
-724-"
Pasal 260,"Cukup jelas.
Angka 6"
Pasal 300 dihapus.,"Ketentuan Pasal 349 diubah sehingga berbunyi sebagai
berikut:"
Pasal 349,"Ayat(l)
Yang dimaksud dengan ""penyederhanaan jenis
pelayanan publik' adalah menggabungkan beberapajenis pelayanan publik yang diamanatkan oleh
ketentuan peraturan perundang-undangan menjadi I(satu) jenis pelayanan yang di dalamnya
menampung/memuat substansi pelayanan yang
digabungkan tersebut.
Yang dimaksud dengan ""penyederhanaan prosedur
pelayanan publikl adalah mengurangi dan/atau
mengintegrasikan persyaratan atau langkah-langkah
pemberian layanan, sehingga mempermudah proses
pemberian layanan kepada masyarakat.
SK No 097203 AAyat(2) ...
PRESIDEN
REPUELIK INDONESIA
-379-
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Angka 9"
Pasal 350,"Cukup jelas.
Angka 10"
Pasal 402A,"Pembagran urusan pemerintahan konkuren antara
Pemerintah Pusat dan Pemerintah Daerah provinsi serta
Pemerintah Daerah kabupaten/kota sebagaimana
tercantum dalam L,ampiran Undang-Undang Nomor 23Tahun 2Ol4 tentang Pemerintahan Daerah
sebagaimana telah diubah terakhir dengan Undang-
Undang Nomor 9 Tahun 2Ol5 tentang Perubahan Kedua
atas Undang-Undang Nomor 23 Tahun 2Ol4 tenta ng
Pemerintahan Daerah harus dibaca dan dimaknai
sesuai dengan ketentuan yang diatur dalam Peraturan
Pemerintah Pengganti Undang-Undang ini.
PENGAWASAN DAN PEMBINAAN
Pasal L77
(1) Pemerintah Pusat wajib melakukan pengawasan dan
pembinaan terhadap setiap pelaksanaan Perizinan
Berusaha yang dilakukan oleh pemegang Perizinan
Berusaha.
(21 Pelaksanaan pengawasan dan pembinaan sebagaimana
dimaksud pada ayat (1) dilakukan oleh Aparatur Sipil
Negara sesuai dengan kewenangannya.
(3) Aparatur Sipil Negara dalam melaksanakan tugas
pengawasan dan pembinaan sebagaimana dimal<sud
pada ayat (2) dapat bekerja sama dengan profesi
bersertilikat sesuai dengan bidang pengawasan dan
pembinaan yang dilakukan.
(41 Dalam hal Aparatur Sipil Negara dan profesi
bersertifikat dalam melaksanakan tugasnya
menemukan pelanggaran terhadap ketentuan yang
tertuang dalam setiap Perizinan Berusaha yang
dilakukan oleh pemegang Perizinart Berusaha
sebagaimana dimaksud pada ayat (1), Aparatur Sipil
Negara sesuai dengan kewenangannya dapat
memberikan sanksi administratif kepada pemegang
Perizinan Berusaha.
SK No 137353 A(5) Sanksi...
PRESIDEN
REPUBLIK INDONES
-733-
(5) Sanksi administratif sebagaimana dimaksud pada ayat
(4) dapat berupa:
a. peringatan;
b. penghentian sementara kegiatan berusaha;
c. pengenaan denda administratif;
d. pengenaan daya paksa polisional;
e. pencabutan lisensi/sertifikasi/persetujuan;
dan/ atau
f. pencabutan Perizinan Berusaha.
(6) Kewenangan Pemerintah Pusat dalam melaksanakan
pengawasan dan pembinaan sebagaimana dimaksud
pada ayat (1) dan pengena€rn sanksi administratif
sebagaimana dimaksud pada ayat (41 dapat
dilimpahkan kepada Pemerintah Daerah sesuai dengan
ketentuan peraturan perundang-undangan.
(71 Ketentuan lebih lanjut mengenai sanksi administratif
lainnya dan tata cara pengenaan sanksi administratif
sebagaimana dimaksud pada ayat (4) diatur dalam
Peraturan Pemerintah."
Pasal 178,Cukup jelas.
Pasal 180,Cukup jelas.
Pasal 181,Cukup jelas.
Pasal 183. . .,"SK No 137356A
PRESIDEN
REPUELIK INDONESIA
-736-"
Pasal 184,Huruf a
Pasal 7El,Cukup jelas.
Pasal 26El,"Cukup jelas.
Angka 25"
Pasal 75A,Cukup jelas.
Pasal 1 1 I,"Cukup jelas.
Angka 39"
Pasal 36Et,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Hurufa
Cukup jelas
Huruf b
Cukup jelas
Huruf c
Cukup jelas
Huruf d
Yang dimaksud dengan ""pengujian"" adalah pelaksanaan
pengetesan instalasi mekanis dan elektrik Bangunan
Gedung.
Ayat (s)
Cukup jelas.
Ayat (6)
Cukup jelas.
SK No 137425 AAngka35...
PRESIDEN
REPUBLIK INDONESIA
-62
Angka 35"
Pasal 39Ayat (l),"Yang dimaksud ""laik fungsi"" yaitu berfungsinya seluruh atau
sebagian dari Bangunan Gedung yang dapat menjamin
dipenuhinya persyaratan tata bangunan, serta persyaratan
keselamatan, kesehatan, kenyamanan, dan kemudahan
Bangunan Gedung sesuai dengan fungsi yang ditetapkan.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (a)
Cukup jelas.
Ayat (s)
Cukup jelas.
Ayat (6)
Cukup je1as.
Ayat (1)
Huruf a
Bangunan Gedung yang tidak laik fungsi dan tidak
dapat diperbaiki akarr membahayakan keselamatan
Pemilik Bangunan Gedung dan/atau Pengguna
' Bangunan Gedung apabila Bangunan Gedung tersebut
terus digunakan. Dalam hal Bangunan Gedung
dinyatakan tidak laik fungsi tetapi masih dapat
diperbaiki, Pemilik Bangunan Gedung dan/atau
Pengguna Bangu.nan Gedung diberikan kesempatan
untuk memperbaikinya sampai dengan dinyatakan laik
fungsi.
Dalam hal ...
SK No 097255 A
PRESIDEN
REPUBLIK INDONESTA
-63-
Dalam hal Pemilik Bangunan Gedung tidak mampu,
untuk rumah tinggal apabila tidak laik fungsi dan tidak
dapat diperbaiki serta membahayakan keselamatan
penghuni atau lingkungan, bangunan tersebut harus
dikosongkan. Apabila bangunan tersebut
membahayakan kepentingan umum, pelaksanaan
pembongkarannya dapat dilakukan oleh Pemerintah
Daerah.
Huruf b
Yang dimaksud ""menimbulkan bahaya"" adalah ketika
dalam Pemanfaatan Bangunan Gedung dan/ atau
lingkungannya dapat membahayakan keselamatan
Masyarakat dan lingkungan.
Huruf c
Cukup jelas.
Hurrf d
Cukup jelas.
Ayat (21
Ayat (3)
Ayat (4)
Ayat (5)Pemerintah Pusat atau Pemerintah Daerah menetapkan
status Bangunan Gedung dapat dibongkar setelah
mendapatkan hasil pengkajian teknis Bangunan Gedung
yang dilaksanakan secara profesional, independen, dan
objektif.
Dikecualikan bagi rumah tinggal tunggal, khususnya rumah
inti tumbuh dan rumah sederhana sehat. Kedalaman dan
keluasan tingkatan pengkajian teknis sangat bergantung
pada kompleksitas dan fungsi Bangunan Gedung.
Rencana teknis Pembongkaran Bangunan Gedung termasuk
gambar-gambar rencana, gambar detail, rencana kerja dan
syarat-syarat pelaksanaan Pembongkaran, jadwal
pelaksanaan, serta rencana pengamanan lingkungan.
SK No 137427ACukup jelas.
Angka38. . .
PRESIDEN
REPUBLIK INDONESIA
-64-
Angka 38"
Pasal 4 1,Dihapus.
PasaL 27,"Cukup jelas.
SK No 158378AAngka 10. . .
PRESIDEN
BLIK INDONES]A
-L74-
Angka 10"
Pasal 4l,"Cukup jelas.
Angka 19"
Pasal 1008,"Cukup jelas.
Angka 35"
Pasal 100C,"Cukup jelas.
Angka 36"
Pasal 67Kewajiban memfasilitasi pembangunan kebun masyarakat,"sekitar seluas 20%o (dua puluh persen) hanya ditqjukan
kepada Pekebun yang mendapatkan lahan untuk
Perkebunan yang berasal dari areal penggunaan lain yang
berada di luar hak guna usaha dan/atau yang berasal dari
areal lahan dari pelepasan hutan. Kewajiban tersebut
timbul atas Lahan Perkebunan yang bersumber dari lahan
negara.
Dalam hal perolehan Lahan Perkebunan dilakukan
langsung kepada masyarakat yang diberikan hak guna
usaha, maka Pekebun tersebut tidak diwajibkan untuk
memberikan fasilitasi.
Kewajiban fasilitasi Perkebunan masyarakat tersebut
diintegrasikan dengan kewajiban lainnya yang timbul
dalam perolehan Lahan Perkebunan, antara lain dalam hal
lahan berasal dari kawasan hutan yang memberikan
kewajiban untuk 207o (dua puluh persen) lahan kepada
masyarakat dan telah dilaksanakan, maka kewajiban
tersebut sudah selesai.
Namun Pekebun tetap didorong memberikan fasilitasi
kepada masyarakat yang bersifat sukarela agar masyarakat
dapat mengembangkan pengelolaan kebunnya.
SK No 137448 AAyat(1) ...
PRESIDEN
REPUBLIK INDONESIA
-85-
Ayat (1)
Memelihara kelestarian fungsi lingkungan hidup di
dalamnya termasuk mencegah dan menanggulangi
pencemaran dan perusakan lingkungan hidup yang
ditimbulkan oleh kegiatan usaha dari Pelaku Usaha
Perkebunan. Dalam hal ini Pemerintah Pusat, Pemerintah
Daerah provinsi, dan Pemerintah Daerah kabupaten/kota
wajib membina dan memfasilitasi pemeliharaan kelestarian
fungsi lingkungan hidup tersebut, khususnya kepada
Pekebun.
Ayat (2)
Cukup jelas.
Ar:gka22"
Pasal 1O5,Cukup jelas.
Pasal 1O6,"Cukup jelas.
Angka35.. .
SK No 158357A
PRESIDEN
REPUBLIK INDONESIA
-153-
Angka 35"
Pasal 33...,"SK No 137455 A
PRESIDEN
REPI.JELIK INDONESIA
-92-"
Pasal 1O1,"Cukup jelas.
Angka 2O"
Pasal 29B,"Cukup jelas.
SK No 137479 AAngka9. . .
PRESIDEN
REPUELIK INDONESIA
- 110 -
Angka 9"
Pasal 1 11,"Dihapus.
Angka22"
Pasal 6Dalam ketentuan ini yang dimaksudkan dengan,"menyalahgunakan adalah kegiatan yang bertujuan untuk
memperoleh keuntungan perseorangan atau badan usaha dengan
cara yang merugikan masyarakat banyak dan negara seperti
antara lain kegiatan pengoplosan Bahan Bakar Minyak,
penyimpangan alokasi Bahan Bakar Minyak, Pengangkutan dan
Penjualan Bahan Bakar Minyak ke luar negeri.
SK No 097224 AHuruf a . . .
PRESIDEN
REPUELIK INDONESIA
-t26-
Hurufa
Pembuatan kebijakan nasional, antara lain berupa:
a. pembuatan dan penetapan standardisasi;
b. penetapan kebijakan pemanfaatan dan konservasi Panas
Bumi;
c. penetapan kebijakan kerja sama dan kemitraan;
d. penetapan Wilayah Kerja Panas Bumi; dan
e. perumusan dan penetapan tarif iuran tetap dan iuran
produksi.
Huruf b
Cukup jelas.
Huruf c
Cukup jelas.
Huruf d
Cukup jelas.
Huruf e
Cukup jelas.
Huruf f
Cukup jelas.
Huruf g
Cukup jelas.
Huruf h
Cukup jelas.
Huruf i
Pendorongan dilakukan dalam rangka untuk meningkatkan
nilai tambah produksi kegiatan penyelenggaraan Panas
Bumi.
Angka 4"
Pasal 1 I,"Cukup jelas.
Angka 7"
PasaL 22,Cukup jelas.
Pasal 9A,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
SK No 158343 AAyat(3)...
PRESIOEN
REPUBLIK INDONESIA
-140-
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (s)
Cukup jelas.
Ayat (6)
Kewajiban mengalihkan kepada negara atau badan
usaha milik negara tidak berlaku bagi orang
perseorangan atau badan usaha yang sudah memiliki
izin sebelum Undang-Undang ini berlaku.
Ayat (7)
Cukup jelas.
Angka 5"
Pasal 52A,Cukup jelas.
Pasal 52El,"Cukup jelas.
Angka 3O"
Pasal 63C,Cukup jelas.
Pasal 117E},"Cukup jelas.
Angka 14"
Pasal 1O7,"Cukup jelas.
Angka 12"
Pasal 40A,"Ayat (1)
Yang dimaksud dengan ""pengalihan alur sungai""
adalah kegiatan mengalihkan alur sungai dengan cara
membuat alur sungai baru yang mengakibatkan alur
sungai yang dialihkan tidak berfungsi secara
permanen.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (s)
Cukup jelas.
Angka 9"
Pasal 177,"Dihapus.
Angka 23"
Pasal 302,"Cukup jelas.
Angka 31"
Pasal 80A,"Cukup jelas.
Angka l0"
Pasal 1168,"Cukup jelas.
Angka 14"
Pasal 185A,"Cukup jelas.
Angka 17"
Pasal 19O,"Cukup jelas.
Angka 19"
Pasal 2O3,"Cukup jelas.
Angka 23"
Pasal 2 10,Cukup jelas.
Pasal 9Ayat (2),"Cukup jelas.
Ayat (s)
Cukup je1as.
Ayat (1)
Yang dimaksud dengan ""intramoda"" meliputi angkutan
laut dalam negeri, angkutan laut luar negeri, angkutan
laut khusus, dan angkutan pelayaran-rakyat.
Yang dimaksud dengan ""antarmoda"" adalah
keterpaduan transportasi darat, transportasi laut, dan
transportasi udara.
Intra dan antarmoda tersebut
kesatuan transportasi nasional.merupakan satu
Ayat (21
Yang dimaksud dengan ""Trayek tetap dan leratlur (linerf
adalah pelayanan angkutan laut yang dilakukan secara
tetap dan teratur dengan berjadwal dan menyebutkan
pelabuhan singgah.
Yang dimaksud dengan ""Trayek tidak tetap dan tidak
teratur (trampet)"" adalah pelayanan angkutan laut yang
dilakukan secara tidak tetap dan tidak teratur.
Ayat (3)
Yang dimaksud dengan ""jaringan Trayekl adalah
kumpulan dari Trayek yang menjadi satu kesatuan
pelayanan angkutan penumpang dan/ atau barang dari
satu Pelabuhan ke Pelabuhan lainnya.
Ayat (a)
Penyusunan jaringan Trayek tetap dan teratur
dimaksudkan untuk memberikan kepastian hukum
dan usaha kepada pengguna jasa dan penyedia jasa
angkutan laut.
SK No 158397 AAyat(5) ...
PRESIDEN
REPUBLIK INDONESIA
-193-
Ayat (s)
Cukup jelas.
Angka 3"
Pasal 294,"Cukup jelas.
Angka 56"
Pasal 58. . .,"SK No 158422 A
PRESIDEN
REPUBLIK INDONESIA
-20a-"
Pasal 2l,"Cukup jelas.
Angka 4"
Pasal 97PRE S I EIEN,"REPUBLIK INDONESIA
-216-
Yang dimaksud dengan ""pelayanan dengan
standar maksimum"" antara lain, pemberian
makan dan minum, makanan ringan, dan
fasilitas ruang tunggu eksekutif (loungel untuk
kelas bisnis (business class) dan kelas utama
fitrst class).Ayat (1)
Huruf a
Huruf b
Huruf c
Ayat (21
Cukup jelas.Yang dimaksud dengan ""pelayanan dengan
standar menengah"" antara lain, pemberian
makanan ringan, dan fasilitas lain ruang tunggu
eksekutif untuk penumpang kelas ekonomi
tertentu.
Yang dimaksud dengan ""pelayanan dengan
standar minimum"" antara lain, hanya ada I (satu)
kelas pelayanan, tanpa pemberian makan dan
minum, makanan ringan, fasilitas ruang tunggu
eksekutif, dan dikenakan biaya untuk bagasi
tercatat.
Angka 43"
Pasal 1l 1,"Dihapus.
Angka 48"
Pasal 215,"Dihapus.
Angka 63"
Pasal 247,"Cukup jelas.
SK No 158435 AAng)<a74 . . .
PRESIDEN
REPUELIK INDONESIA
-22t-
Ang)<a 74
Pasal249
Yang dimaksud dengan ukeadaan tertentu"", antara lain,
untuk tqiuan medical euaanation dan penanganan bencana.
Angka 75"
Pasal 409,"Cukup jelas.
Angka 89"
Pasal 428,Cukup jelas.
Pasal 14O,"Cukup jelas.
SK No 158455 AAngka20...
PRESIDEN
REPUBLIK INDONESIA
-241 -
Angka 20
.Pasal 14 1
Cukup jelas.
Angka 2l"
Pasal 1l9A,"Cukup jelas.
Angka24"
Pasal 33PRESIDEN,"REPUELI( INDONESIA
-254-
Penyelenggara Telekomunikasi khusus yang
menyelenggarakan Jaringan Telekomunikasi dan/atau
Jasa Telekomunikasi dapat melanjutlan
Penyelenggaraan Jaringan Telekomunikasi dan/atau
Penyelenggaraan Jasa Telekomunikasi dengan
pertimbangan investasi yang telah dilakukannya dan
kesinambungan pelayanan kepada Pengguna. Dalam
hal ini Penyelenggara Telekomunikasi khusus yang
bersangkutan wajib memenuhi seluruh ketentuan yang
berlaku bagi Penyelenggaraan Jaringan Telekomunikasi
dan/atau Penyelenggaraan Jasa Telekomunikasi.
Cukup jelas.
Ayat (1)
Pemberian Perizinan Berusaha terkait penggunaan
spektrum frekuensi radio didasarkan pada ketersediaan
spektrum frekuensi radio dan hasil analisis teknis.
Slot orbit satelit bukan merupakan aset nasiona-l.
Pemberian Perizinan Berusaha penggunaan spektrum
frekuensi radio dilakukan melalui mekanisme seleksi
atau evaluasi.
Ayat (2)
Pemberian persetujuan terkait penggunaan spektrum
frekuensi radio didasarkan pada ketersediaan spektrum
frekuensi radio dan hasil analisis teknis. Pemberian
persetujuan terkait penggunaan spektrum frekuensi
radio dilakukan melalui mekanisme evaluasi.
SK No 097283 AAyat(3)...
PRESIDEN
REP]IBLIK INDONESIA
-255-
Ayat (3)
Ayat (4)
Cukup jelas.
Ayat (5)
Cukup jelas.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.Yang dimaksud dengan usesuai dengan peruntukan""
adalah penggunaan spektrum frekuensi radio wajib
sesuai dengan perencanaan spektrum frekuensi radio
dan ketentuan teknis penggunaan spektrum frekuensi
radio yang ditetapkan oleh Pemerintah Pusat.
Yang dimaksud dengan ""gangguan yang merugikan""
adalah jenis gangguan/interferensi yang memberikan
dampak merugikan terhadap penggunaan spektrum
frekuensi radio yang mendapatkan proteksi dari
Pemerintah Pusat.
SK No 158470 AAngka6. ..
PRESIDEN
IJBLIK INDONESIA
-256-
Angka 6"
Pasal 88B,Cukup jelas.
Pasal 9OB,"Cukup jelas.
Angka 32"
Pasal 15lA,"Cukup jelas.
Angka42"
Pasal 154A,"Cukup jelas.
Angka 46"
Pasal 468,Cukup jelas.
Pasal 17Cukup jelas.,"(1)
Sebagai pemilik dan pengguna jasa Koperasi, anggota
berpartisipasi aktif dalam kegiatan Koperasi. Sekalipun
demikian, sepanjang tidak merugikan kepentingannya,
Koperasi dapat pula memberikan pelayanan kepada
bukan anggota sesuai dengan sifat kegiatan usahanya,
dengan maksud untuk menarik yang bukan anggota
menjadi anggota Koperasi.
(21
Buku daftar anggota Koperasi dapat berbentuk
dokumen tertulis atau dokumen elektronik.Ayat
Ayat
Angka 3"
Pasal 88...,"SK No 096529 A
PRESIDEN
REPUBLIK INDONESIA
-295-"
Pasal 7l,"Cukup jelas.adalah
adalah"
Pasal 153El,"Ayat (1)
Modal dasar perseroan untuk usaha mikro dan kecil
berasal dari kekayaan pendiri yang dipisahkan.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas."
Pasal 153D,"Cukup jelas.
SK No 096555 APasal 153E. . .
PRESIDEN
REPUBLIK INDONESIA
-308-"
Pasal 153F,Cukup jelas.
Pasal 1531,Cukup jelas.
Pasal 1A ayat(21 hurufe.,"Huruf f
Dalam hal suatu perusahaan mempunyai lebih dari
satu tempat pajak terutang baik sebagai pusat
maupun sebagai cabang perusahaan, pemindahan
Barang Kena Pajak antartempat tersebut
merupakan penyerahan Barang Kena Pajak.
Yang dimaksud dengan ""pusat"" adalah tempat
tinggal atau tempat kedudukan.
Yang dimaksud dengan ""cabang"" antara lain lokasi
usaha, perwakilan, unit pemasaran, dan tempat
kegiatan usaha sejenisnya.
Huruf g
Dihapus.
Huruf h
Contoh:
SK No 096568 ADalam . . .
PRESIOEN
REPUBLIK INDONESIA
-32t-
Da-lam transaksi murabahah, bank syariah
bertindak sebagai penyedia dana untuk membeli
sebuah kendaraan bermotor dari Pengusaha Kena
Pajak A atas pesanan nasabah bank syariah (T\ran
B). Meskipun berdasarkan prinsip syariah, bank
syariah harus membeli dahulu kendaraan
bermotor tersebut dan kemudian menjualnya
kepada Tuan B, berdasarkan Undang-Undang ini,
penyerahan kendaraan bermotor tersebut dianggap
dilakukan langsung oleh Pengusaha Kena Pajak A
kepada T\ran B.
Ayat (21
Huruf a
Huruf bYang dimaksud dengan ""makelar"" adalah makelar
sebagaimana dimaksud dalam Kitab Undang-
Undang Hukum Dagang, yaitu pedagang perantara
yang diangkat oleh Presiden atau oleh pejabat yang
oleh Presiden dinyatakan berwenang untuk itu.
Mereka menyelenggarakan perusahaan mereka
dengan melakukan pekerjaan dengan mendapat
upah atau provisi tertentu, atas amanat dan atas
nama orzrng-orang lain yang dengan mereka tidak
terdapat hubungan kerja.
Cukup jelas.
Huruf c
Dalam hal Pengusaha Kena Pajak mempunyai lebih
dari satu tempat kegiatan usaha, baik sebagaipusat maupun cabang perusahaan, dan
Pengusaha Kena Pajak tersebut telah
menyampaikan pemberitahuan secara tertulis
kepada Direktur Jenderal Pajak, pemindahan
Barang Kena Pajak dari satu tempat kegiatan
usaha ke tempat kegiatan usaha lainnya (pusat ke
cabang atau sebaliknya atau antarcabang)
dianggap tidak termasuk dalam pengertian
penyerahan Barang Kena Pajak, kecuali
pemindahan Barang Kena Pajak antartempat pajak
terutang.
Huruf d. . .
SK No 096569 A
PRESIDEN
REPUBLIK INDONESIA
-322-
Huruf d
Yang dimaksud dengan ""pemecahan usaha"" adalah
pemisahan usaha sebagaimana dimaksud dalam
undang-undang yang mengatur mengenai
perseroan terbatas.
Pengalihan Barang Kena Pajak dalam rangkapenggabungan, peleburan, pemekaran,
pemecahan, dan pengambilalihan usaha, serta
pengalihan Barang Kena Pajak untuk tujuan
setoran modal pengganti saham, yang dilakukan
oleh:
a. Pengusaha Kena Pajak kepada Pengusaha
Kena Pajak lainnya, tidak termasuk dalam
pengertian penyerahan Barang Kena Pajak
sehingga tidak ada Pajak Pertambahan Nilai
yang terutang;
b. pengusaha yang belum atau tidak
dikukuhkan sebagai Pengusaha Kena Pajak,
termasuk dalam pengertian penyerahan
Barang Kena Pajak sehingga terdapat Pajak
Pertambahan Nilai yang terutang namun tidak
dipungut oleh pengusaha tersebut karena
belum atau tidak dikukuhkan sebagai
Pengusaha Kena Pajak; atau
c. Pengusaha Kena Pajak kepada pengusaha
yang belum atau tidak dikukuhkan sebagai
Pengusaha Kena Pajak, termasuk dalam
pengertian penyerahan Barang Kena Pajak
sehingga terdapat Pajak Pertambahan Nilai
yang terutang yang harus dipungut oleh
Pengusaha Kena Pajak. Dalam hal Barang
Kena Pajak yang dialihkan berupa aktiva yang
menurut tujuan semula tidak untuk
diperjualbelikan maka Pajak Pertambahan
Nilai yang dikenakan atas pengalihan Barang
Kena Pajak tersebut dilakukan sesuai dengan
ketentuan yang mengatur mengenai
penyerahan Barang Kena Pajak berupa aktiva
yang menurut tqjuan semula tidak untuk
diperjualbelikan.
SK No 096570 AHurufe.
PRESIDEN
REPUBLIK INDONESIA
-323-
Huruf e
Barang Kena Pajak berupa aktiva yang menurut
tqjuan semula tidak untuk diperjualbelikan yang
masih tersisa pada saat pembubaran perusahaan,
yang Pajak Masukan atas perolehannya tidak dapat
dikreditkan karena tidak mempunyai hubungan
langsung dengan kegiatan usaha sebagaimana
dimaksud dalam Pasal 9 ayat (8) huruf b tidak
termasuk dalam pengertian penyerahan Barang
Kena Pajak.
Angka 2"
